iter,tot_gain
0,6.875
3000,0.23648146586900676
6000,0.16656053335248006
9000,0.13685369759331678
12000,0.12090028923646884
15000,0.10559858876256067
18000,0.09808835078412304
21000,0.08940561189416879
24000,0.08395331337702722
27000,0.07796061871225024
30000,0.07561809920252405
33000,0.0723631959396766
36000,0.07008268727816702
39000,0.0672497281187523
42000,0.06348639355515057
45000,0.06131624167278571
48000,0.06009221311956847
51000,0.058805406140484295
54000,0.05666046397978719
57000,0.055010729582734175
60000,0.05412399508344046
63000,0.05101635904636026
66000,0.050916837438979734
69000,0.04975619905117651
72000,0.04938217777352283
75000,0.0468759773502872
78000,0.047829607169449784
81000,0.04662713671280433
84000,0.04618946763123416
87000,0.045188664747283114
90000,0.04450799838583652
93000,0.0434515290585884
96000,0.04280103661547785
99000,0.042275769226220394
102000,0.041155022663378116
105000,0.04084899196410041
108000,0.04095180932641618
111000,0.03980616518122709
114000,0.03976427718385128
117000,0.03886071295301119
120000,0.03786891721554325
123000,0.037800448458848
126000,0.03779551867100073
129000,0.03720042853693106
132000,0.036822058055042906
135000,0.035343583372178466
138000,0.036099931015883324
141000,0.035650336094165846
144000,0.03544447086643582
147000,0.03501830057222122
150000,0.034479919674771986
153000,0.034226052416021446
156000,0.033898919859078225
159000,0.03304484560900839
162000,0.03251551652892415
165000,0.03309512412190729
168000,0.03250361831988996
171000,0.03158998840828797
174000,0.0315214936900427
177000,0.030481261899613532
180000,0.03158846481714528
183000,0.030788393935746783
186000,0.030563548075485725
189000,0.030776098764939974
192000,0.030335331818064803
195000,0.03014409634203169
198000,0.030167398334448647
201000,0.02991779728393501
204000,0.029375580867083695
207000,0.029187730497465203
210000,0.029269550980166592
213000,0.028957468337865222
216000,0.028824742175396434
219000,0.027636645450377306
222000,0.028143775939046822
225000,0.028156875295984596
228000,0.02748465424256502
231000,0.027424807775116633
234000,0.026787114037419346
237000,0.027692406605059783
240000,0.026755377082790577
243000,0.027166632604277763
246000,0.02697069085488829
249000,0.026963592531250358
252000,0.026750235068981
255000,0.026618444044534895
258000,0.026159773254401553
261000,0.026100088137357536
264000,0.026123206100763352
267000,0.02530260416159602
270000,0.025564787924348575
273000,0.025518418557081923
276000,0.025447865926750024
279000,0.0253054140629545
282000,0.025210683925041055
285000,0.024831870628593655
288000,0.024691502463476955
291000,0.024904755358237773
294000,0.024227416596765805
297000,0.024665131891836445
